   0.00000000       4.60258685E-02  -1.57517171    
  0.392699093       4.68138605E-02  -1.57509208    
  0.785398185       4.89137284E-02  -1.57489157    
   1.17809725       5.21251187E-02  -1.57462132    
   1.57079637       5.59593849E-02  -1.57434261    
   1.96349537       5.96642345E-02  -1.57409906    
   2.35619450       6.28371835E-02  -1.57391548    
   2.74889350       6.49962425E-02  -1.57380402    
   3.14159274       6.57419264E-02  -1.57376432    
   3.53429198       6.49963021E-02  -1.57380366    
   3.92699075       6.28389418E-02  -1.57391584    
   4.31968975       5.96638173E-02  -1.57409859    
   4.71238899       5.59593774E-02  -1.57434261    
   5.10508823       5.21245115E-02  -1.57462049    
   5.49778700       4.89136130E-02  -1.57489252    
   5.89048672       4.68139313E-02  -1.57509255    
