   0.00000000      0.119881287       1.57082069    
  0.392699093      0.119603507       1.63937509    
  0.785398185      0.119276062       1.69919109    
   1.17809725      0.118771479       1.74180210    
   1.57079637      0.117890440       1.76015091    
   1.96349537      0.116609126       1.74897754    
   2.35619450      0.115083650       1.70933270    
   2.74889350      0.113868900       1.64665020    
   3.14159274      0.113574803       1.57080412    
   3.53429198      0.114442781       1.49529386    
   3.92699075      0.116133153       1.43338346    
   4.31968975      0.117975652       1.39432764    
   4.71238899      0.119369879       1.38361430    
   5.10508823      0.120131277       1.40148377    
   5.49778700      0.120325692       1.44345045    
   5.89048672      0.120174214       1.50250506    
