   0.00000000       4.88400646E-02   1.58366191    
  0.392699093       4.56451476E-02   1.58404231    
  0.785398185       3.60015035E-02   1.58559370    
   1.17809725       1.98090896E-02   1.59174705    
   1.57079637       1.71637349E-03  -1.72933388    
   1.96349537       2.57554408E-02  -1.57590723    
   2.35619450       4.80946936E-02  -1.57129943    
   2.74889350       6.39468655E-02  -1.57018435    
   3.14159274       6.97043091E-02  -1.56993949    
   3.53429198       6.39651939E-02  -1.57018363    
   3.92699075       4.80865873E-02  -1.57129896    
   4.31968975       2.57731359E-02  -1.57590723    
   4.71238899       1.73048209E-03  -1.72801101    
   5.10508823       1.98044628E-02   1.59175253    
   5.49778700       3.59915867E-02   1.58559322    
   5.89048672       4.56518754E-02   1.58404410    
